# Wanna drop some funky stats & graphs? Go to 'www.stratoflights.com/auswertung' 

LOGGER_INFO_BEGIN
{info:{board_id:4,id_str:'STRATO4 Version 1.3',serial:'916',hw_platform:{name:'stratologx-stm32l0',mcu:'ST STM32L072RZT6',v_ma:'1',v_mi:'3'},sw_version:{v_ma:'2',v_mi:'0',v_pa:'0',v_info:'STD',bt_t:'16:27:48',bt_d:'May 14 2022'}}}
LOGGER_INFO_END
CSV_DATA_SECTION_BEGIN
Uptime [s];GNSS: PPS Timestamp [s];GNSS: UTC date time (ISO 8601);GNSS: Fix type (0=no fix, others=fix);GNSS: Latitude [degrees];GNSS: Longitude [degrees];GNSS: Positional dilution of precision;GNSS: Altitude [m] (above Mean Sea Level);GNSS: Ground speed [km/h];GNSS: Satellites in view;GNSS: Altitude [m] (above ellipsoid);Temperature: Board [degC];Temperature: Ext LM75 1 [degC];Temperature: Ext MS8607 1 [degC];Pressure: Ext MS8607 [hPa];Humidity: Ext MS8607 [%];Light Intensity: Clear [lx];Light Intensity: Red [lx];Light Intensity: Green [lx];Light Intensity: Blue [lx];Light Intensity: Infrared [lx];Light Intensity: UVA index [];Volt: Supply Voltage [V];Volt: 3.3V board voltage [V];Volt: 5V board voltage [V];Volt: Vin1 voltage [V];Volt: Vin2 voltage [V];Volt: Vin3 voltage [V];IO: In 1 State;IO: In 1 Timestamp [s];IO: In 2 State;IO: In 2 Timestamp [s];IO: Out 1 State;IO: Out 1 Timestamp [s];IO: Out 2 State;IO: Out 2 Timestamp [s]
6.307;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.6;9.3;8.5;1010.5;55.89;8652;7373;7766;20742;3048;0.01;8.79;3.29;5.04;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
8.307;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.5;9.3;8.5;1010.5;56.03;20350;11108;13075;23691;8160;0.01;8.78;3.29;5.04;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
10.305;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.6;9.3;8.5;1010.5;56.16;395;6390;4424;16712;1;0.00;8.78;3.29;5.03;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
12.305;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.6;9.3;8.5;1010.5;56.29;23397;6193;3539;15729;4916;0.00;8.78;3.29;5.03;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
14.305;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.5;9.3;8.5;1010.7;56.43;19073;17695;23003;5407;1082;0.01;8.77;3.29;5.03;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
16.306;0.000;2015-10-21T07:20:15.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.5;9.1;8.5;1010.6;56.59;21236;22905;9634;14844;11404;0.01;8.77;3.29;5.03;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
18.306;0.000;2015-10-21T07:20:17.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.5;9.3;8.5;1010.6;56.72;3052;6390;18286;6981;8947;0.01;8.77;3.29;5.04;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
20.306;0.000;2015-10-21T07:20:19.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.5;9.3;8.4;1010.7;56.91;16622;10520;10522;3345;15928;0.03;8.76;3.29;5.03;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
22.306;0.000;2023-04-26T07:20:21.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.6;9.4;8.5;1010.4;57.08;2467;18385;1085;15731;24579;0.04;8.77;3.29;5.04;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
24.306;0.000;2023-04-26T07:20:23.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;11.6;9.4;8.5;1010.4;57.23;3350;12093;19467;4229;19565;0.04;8.77;3.29;5.03;0.000;0.000;0.000;1;0.000;1;0.000;0;0.002;0;0.002
